URL,Rule Type,Result Type,Result Condition,Result Condition Index,Rule Set,Impact,Message,HTML Element,DOM Element,Help,Help URL,WCAG Criteria,axe-scan Version
https://faunarobotics.com/,color-contrast,incomplete,any,1,wcag2aa,serious,Element's background color could not be determined because it is overlapped by another element,<h3 class="h4">Compliant- capable locomotion </h3>,#w-node-_47ebc224-0349-2b20-020b-4578c3f64197-e7e3fd1b > .product-bento__item-header > .h4,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axe-puppeteer,1.4.3,2.0.0
https://faunarobotics.com/,color-contrast,incomplete,any,1,wcag2aa,serious,Element's background color could not be determined because it is overlapped by another element,<div>Ready for developers</div>,#w-node-_87ecbd04-af81-9062-638a-4537eb05f5a6-e7e3fd1b > .tag > div,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axe-puppeteer,1.4.3,2.0.0
https://faunarobotics.com/,color-contrast,incomplete,any,1,wcag2aa,serious,Element's background color could not be determined because it is overlapped by another element,<div>Socially engaging</div>,#w-node-_5cae599d-cc18-5d47-d62f-2fe085d1ef7e-e7e3fd1b > .tag > div,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axe-puppeteer,1.4.3,2.0.0
https://faunarobotics.com/,color-contrast,incomplete,any,1,wcag2aa,serious,Element's background color could not be determined due to a background gradient,<h2 class="h3">Fauna Robotics- building a&nbsp;world where robots operate everywhere people&nbsp;do.</h2>,.footer-content__col-left > h2,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axe-puppeteer,1.4.3,2.0.0
https://faunarobotics.com/,color-contrast,incomplete,any,1,wcag2aa,serious,Element's background color could not be determined due to a background gradient,<p class="text-brown-300">Designed in New York City. <!--$--><br><!--/$-->Assembled in America.</p>,.footer-content__col-left > .text-brown-300,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axe-puppeteer,1.4.3,2.0.0
https://faunarobotics.com/,color-contrast,incomplete,any,1,wcag2aa,serious,Element's background color could not be determined due to a background gradient,<div class="text-brown-300">Explore</div>,#w-node-_3bc4d05a-f457-76d5-2f17-7eee74d2b1ea-74d2b1de > .text-brown-300,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axe-puppeteer,1.4.3,2.0.0
https://faunarobotics.com/,color-contrast,incomplete,any,1,wcag2aa,serious,Element's background color could not be determined due to a background gradient,<a href="/product" class="text-link">Product</a>,.text-link[href$="product"],Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axe-puppeteer,1.4.3,2.0.0
https://faunarobotics.com/,color-contrast,incomplete,any,1,wcag2aa,serious,Element's background color could not be determined due to a background gradient,<a href="/product#tech-specs" class="text-link">Technical specifications</a>,a[href$="product#tech-specs"],Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axe-puppeteer,1.4.3,2.0.0
https://faunarobotics.com/,color-contrast,incomplete,any,1,wcag2aa,serious,Element's background color could not be determined due to a background gradient,<p>Technical report</p>,.plausible-event-name--Technical\+Report\+Download > p,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axe-puppeteer,1.4.3,2.0.0
https://faunarobotics.com/,color-contrast,incomplete,any,1,wcag2aa,serious,Element's background color could not be determined due to a background gradient,<p>Press kit</p>,.plausible-event-name--Press\+Kit\+Click > p,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axe-puppeteer,1.4.3,2.0.0
